cumulative_reward,cral,cr,successful_landing,boundary_counter,landing_attempts,movement_ratio
-0.2,0.0,0.0,True,0,1,0.015625
-0.4,0.0,0.0,True,0,1,0.047619047619047616
-206.20000000000007,0.0,0.07407407407407407,False,24,18,1.0
0.0,0.0,0.0,True,0,1,0.008264462809917356
-0.2,0.0,0.0,True,0,1,0.01904761904761905
0.0,0.0,0.0,True,0,1,0.006666666666666667
-2.6,0.009708737864077666,0.009708737864077666,True,0,1,0.27692307692307694
-181.99999999999997,0.0,0.21561338289962828,False,10,22,1.0
-207.6000000000001,0.0,0.0,False,17,18,1.0
-6.4,0.03153153153153154,0.03153153153153154,True,3,4,0.11971830985915492
-177.19999999999996,0.0,0.0038610038610038533,False,1,13,1.0
-1.4000000000000004,0.024024024024024038,0.024024024024024038,True,2,2,0.0625
-168.99999999999997,0.0,0.06274509803921569,False,1,10,1.0
-1.4,0.0,0.0,True,0,1,0.13559322033898305
0.0,0.0,0.0,True,0,1,0.01
-42.200000000000024,0.030674846625766916,0.030674846625766916,True,9,18,0.7796610169491526
-167.59999999999997,0.0,0.032911392405063244,False,4,7,1.0
-170.59999999999997,0.0,0.15021459227467815,False,3,11,1.0
0.0,0.0,0.0,True,0,1,0.00980392156862745
0.0,0.0,0.0,True,0,1,0.00909090909090909
-2.2,0.0,0.0,True,0,2,0.07291666666666667
-4.6,0.07666666666666666,0.07666666666666666,True,2,6,0.5833333333333334
-6.000000000000002,0.0,0.0,True,0,2,0.2988505747126437
-13.399999999999993,0.012158054711246202,0.012158054711246202,True,8,3,0.24761904761904763
-185.79999999999995,0.0,0.040000000000000036,False,15,8,1.0
-0.2,0.0,0.0,True,0,1,0.013422818791946308
-0.8,0.0,0.0,True,0,1,0.06578947368421052
6.8,0.09326424870466321,0.09326424870466321,True,0,1,0.022727272727272728
-1.2,0.0,0.0,True,0,1,0.05263157894736842
1.8,0.019305019305019266,0.019305019305019266,True,0,1,0.03125
-15.999999999999977,0.1064516129032258,0.1064516129032258,True,5,9,0.9534883720930233
1.0000000000000002,0.029585798816568087,0.029585798816568087,True,0,1,0.09836065573770492
2.7999999999999994,0.04453441295546556,0.04453441295546556,True,0,1,0.13636363636363635
-191.0,0.0,0.15530303030303028,False,8,22,1.0
-0.6000000000000001,0.0,0.0,True,0,1,0.028985507246376812
-174.39999999999995,0.0,0.19354838709677424,False,2,12,1.0
-0.8,0.0,0.0,True,0,1,0.04950495049504951
5.551115123125783e-17,0.02166064981949456,0.02166064981949456,True,1,1,0.058394160583941604
-217.60000000000014,0.0,0.0,False,27,14,1.0
-194.00000000000003,0.0,0.005633802816901401,False,9,15,1.0
-180.79999999999995,0.0,0.042857142857142816,False,11,6,1.0
-174.79999999999995,0.0,0.0,False,7,6,1.0
-11.599999999999993,0.0,0.0,True,4,2,0.2698412698412698
-176.99999999999994,0.0,0.011111111111111072,False,5,7,1.0
-11.999999999999991,0.0,0.0,True,1,4,0.3445378151260504
-191.40000000000003,0.0,0.0,False,12,5,1.0
-179.39999999999992,0.0,0.13432835820895528,False,9,11,1.0
-1.0000000000000004,0.07547169811320753,0.07547169811320753,True,2,1,0.1342281879194631
-176.39999999999998,0.0,0.0736842105263158,False,14,3,1.0
-169.99999999999997,0.0,0.002865329512893977,False,1,5,1.0
-196.20000000000005,0.0,0.0,False,12,6,1.0
-32.99999999999998,0.02491103202846978,0.02491103202846978,True,19,3,0.5
-23.799999999999976,0.01319261213720313,0.01319261213720313,True,9,4,0.6140350877192983
-3.600000000000001,0.0,0.0,True,0,1,0.3275862068965517
-170.19999999999996,0.0,0.0,False,3,4,1.0
-172.79999999999995,0.0,0.0,False,6,2,1.0
-167.39999999999998,0.0,0.14835164835164838,False,14,3,1.0
-1.7999999999999998,0.0,0.0,True,0,1,0.10869565217391304
0.0,0.0,0.0,True,0,1,0.015151515151515152
-42.200000000000074,0.03956834532374098,0.03956834532374098,True,20,5,0.7702702702702703
-181.19999999999996,0.0,0.00540540540540535,False,12,1,1.0
0.0,0.0,0.0,True,0,1,0.01639344262295082
-183.19999999999993,0.0,0.060126582278481,False,12,7,1.0
-196.8,0.0,0.0,False,24,4,1.0
-197.60000000000002,0.0,0.33689839572192515,False,40,6,1.0
-216.60000000000014,0.0,0.0,False,35,4,1.0
-221.00000000000014,0.0,0.009404388714733591,False,36,7,1.0
-0.2,0.0,0.0,True,0,1,0.021505376344086023
-176.59999999999994,0.0,0.0,False,2,0,1.0
-164.79999999999995,0.0,0.3002680965147453,False,29,3,1.0
-173.19999999999996,0.0,0.14948453608247425,False,14,1,1.0
-216.2000000000001,0.0,0.025179856115107868,False,35,5,1.0
-196.60000000000005,0.0,0.05494505494505497,False,23,3,1.0
-164.6,0.0,0.050193050193050204,False,6,2,1.0
-8.4,0.03105590062111796,0.03105590062111796,True,4,1,0.4925373134328358
-19.999999999999982,0.13942307692307687,0.13942307692307687,True,10,3,0.7983870967741935
-195.80000000000004,0.0,0.031088082901554404,False,18,5,1.0
-1.0,0.0,0.0,True,0,1,0.06593406593406594
-180.59999999999997,0.0,0.06738544474393526,False,17,4,1.0
-203.2000000000001,0.0,0.06593406593406592,False,28,5,1.0
-180.59999999999997,0.0,0.10416666666666663,False,11,7,1.0
-168.99999999999997,0.0,0.0,False,7,1,1.0
-162.79999999999995,0.0,0.2660098522167488,False,4,7,1.0
-180.19999999999993,0.0,0.20284697508896798,False,13,10,1.0
-193.20000000000002,0.0,0.004761904761904745,False,11,8,1.0
-130.79999999999995,0.0,0.2768361581920904,False,1,6,1.0
-152.6,0.0,0.34782608695652173,False,9,3,1.0
-174.79999999999995,0.0,0.017045454545454586,False,6,6,1.0
-63.60000000000013,0.12244897959183676,0.12244897959183676,True,43,5,0.8979591836734694
-167.79999999999998,0.0,0.02604166666666663,False,9,1,1.0
-180.99999999999994,0.0,0.18844984802431608,False,20,8,1.0
-19.799999999999965,0.0,0.0,True,2,1,0.6040268456375839
-0.6000000000000001,0.0,0.0,True,0,1,0.06557377049180328
-149.19999999999996,0.0,0.18130311614730876,False,5,3,1.0
-168.59999999999997,0.0,0.22972972972972971,False,9,6,1.0
-192.4,0.0,0.0,False,17,1,1.0
-202.80000000000007,0.0,0.0,False,25,4,1.0
-160.39999999999998,0.0,0.24252491694352163,False,17,2,1.0
-163.59999999999997,0.0,0.05714285714285716,False,6,2,1.0
-189.20000000000002,0.0,0.0,False,14,2,1.0
5.4,0.08585858585858586,0.08585858585858586,True,0,1,0.057971014492753624
-200.00000000000006,0.0,0.0,False,27,1,1.0
-168.2,0.0,0.10300429184549353,False,15,0,1.0
-165.59999999999994,0.0,0.051359516616314216,False,2,0,1.0
-165.2,0.0,0.37591240875912413,False,16,11,1.0
-172.79999999999995,0.0,0.0,False,6,5,1.0
-193.40000000000003,0.0,0.0,False,16,4,1.0
-179.79999999999995,0.0,0.0,False,15,1,1.0
-198.8,0.0,0.020905923344947785,False,33,0,1.0
-191.8,0.0,0.0580357142857143,False,26,0,1.0
-189.0,0.0,0.05813953488372092,False,18,4,1.0
-178.19999999999996,0.0,0.011173184357541888,False,10,2,1.0
-0.6000000000000001,0.0,0.0,True,0,1,0.032520325203252036
-187.59999999999997,0.0,0.032710280373831724,False,14,3,1.0
-182.99999999999994,0.0,0.0,False,3,7,1.0
-181.19999999999993,0.0,0.0326797385620915,False,10,2,1.0
-184.8,0.0,0.08854166666666663,False,9,8,1.0
-168.79999999999995,0.0,0.003759398496240629,False,5,3,1.0
-154.6,0.0,0.21857923497267762,False,7,1,1.0
-0.8,0.004901960784313708,0.004901960784313708,True,0,1,0.058333333333333334
-188.6,0.0,0.1071428571428571,False,16,6,1.0
-195.60000000000005,0.0,0.00520833333333337,False,10,10,1.0
-170.2,0.0,0.07407407407407407,False,11,3,1.0
-175.19999999999996,0.0,0.0,False,5,2,1.0
-0.4,0.0,0.0,True,0,1,0.04225352112676056
11.400000000000022,0.29447852760736193,0.29447852760736193,True,0,1,0.272108843537415
-1.2,0.0,0.0,True,0,1,0.0673076923076923
-166.19999999999996,0.0,0.0,False,5,0,1.0
